lattice,1_II,1_IH,1_HH,2_II,2_IH,2_HH,3_II,3_IH,3_HH,4_II,4_IH,4_HH,5_II,5_IH,5_HH,6_II,6_IH,6_HH,7_II,7_IH,7_HH,8_II,8_IH,8_HH,9_II,9_IH,9_HH,10_II,10_IH,10_HH,11_II,11_IH,11_HH
6.8,1046.677787,523.3410603,-1.538e-05,1046.682688,523.340998,-1.685e-05,1046.682104,523.3411264,-1.824e-05,1046.68224,523.3410896,-1.899e-05,1046.682342,523.3410423,-1.97e-05,1046.682094,523.3410243,-1.977e-05,1046.682244,523.3410909,-1.985e-05,1046.682,523.3410262,-1.998e-05,1046.682741,523.3411047,-1.972e-05,1046.682105,523.3410216,-1.996e-05,1046.682149,523.3410238,-1.999e-05
7.0,1046.692499,523.3482583,-1.537e-05,1046.696961,523.3482047,-1.684e-05,1046.696528,523.3483198,-1.824e-05,1046.696677,523.348284,-1.899e-05,1046.696716,523.3482455,-1.97e-05,1046.696491,523.3482248,-1.976e-05,1046.696628,523.3482865,-1.984e-05,1046.696432,523.3482274,-1.991e-05,1046.697068,523.3483,-1.993e-05,1046.696498,523.3482238,-1.994e-05,1046.696537,523.3482264,-1.997e-05
7.1,1046.700313,523.3520948,-1.57e-05,1046.704571,523.3520449,-1.72e-05,1046.704213,523.3521537,-1.865e-05,1046.704362,523.3521182,-1.941e-05,1046.704377,523.352084,-2.014e-05,1046.704161,523.3520617,-2.019e-05,1046.704295,523.3521212,-2.026e-05,1046.704121,523.3520647,-2.032e-05,1046.704707,523.3521342,-2.033e-05,1046.70417,523.3520615,-2.034e-05,1046.704205,523.3520641,-2.037e-05
7.2,1046.708379,523.356061,-1.74e-05,1046.712443,523.3560142,-1.908e-05,1046.711641,523.3561172,-2.072e-05,1046.712304,523.3560817,-2.156e-05,1046.7123,523.3560514,-2.24e-05,1046.712091,523.3560277,-2.243e-05,1046.712223,523.356085,-2.247e-05,1046.712068,523.3560308,-2.251e-05,1046.712608,523.3560987,-2.165e-05,1046.712103,523.3560292,-2.166e-05,1046.712135,523.3560318,-2.168e-05
7.3,1046.716656,523.3601347,-1.934e-05,1046.720534,523.3600906,-2.123e-05,1046.720317,523.3601881,-2.31e-05,1046.720459,523.3601523,-2.403e-05,1046.720437,523.3601259,-2.499e-05,1046.720235,523.3601007,-2.499e-05,1046.720366,523.3601561,-2.5e-05,1046.720229,523.3601045,-2.501e-05,1046.720723,523.3601685,-2.503e-05,1046.72025,523.3601021,-2.502e-05,1046.720278,523.3601046,-2.504e-05
7.4,1046.725092,523.3642933,-2.333e-05,1046.728799,523.3642515,-2.563e-05,1046.728646,523.3643437,-2.795e-05,1046.728783,523.3643078,-2.904e-05,1046.728746,523.3642846,-3.029e-05,1046.728551,523.3642584,-3.025e-05,1046.72868,523.3643115,-3.015e-05,1046.728559,523.3642624,-3.008e-05,1046.729011,523.3643234,-3.01e-05,1046.72857,523.3642604,-3.009e-05,1046.728594,523.3642625,-3.009e-05
7.5,1046.733652,523.3685141,-2.886e-05,1046.737194,523.3684743,-3.179e-05,1046.737099,523.3685611,-3.477e-05,1046.737232,523.3685249,-3.617e-05,1046.73718,523.3685047,-2.797e-05,1046.736992,523.3684776,-3.756e-05,1046.737121,523.3685286,-3.744e-05,1046.737013,523.3684819,-1.235e-05,1046.737426,523.3685401,-3.733e-05,1046.737015,523.3684802,-3.731e-05,1046.737035,523.3684821,-3.729e-05
7.6,1046.74229,523.3727743,-3.824e-05,1046.745676,523.3727359,-4.216e-05,1046.745633,523.3728171,-4.624e-05,1046.745762,523.3727805,-4.81e-05,1046.745696,523.3727628,-5.016e-05,1046.745514,523.3727348,-4.993e-05,1046.745643,523.3727841,-4.97e-05,1046.745548,523.3727398,-4.948e-05,1046.745924,523.3727951,-4.946e-05,1046.745543,523.3727383,-4.943e-05,1046.745559,523.37274,-4.938e-05
7.7,1046.750965,523.3770523,-5.335e-05,1046.754204,523.3770146,-5.892e-05,1046.754206,523.3770899,-6.469e-05,1046.75433,523.3770529,-6.734e-05,1046.754813,523.3770371,-7.029e-05,1046.754077,523.3770086,-6.992e-05,1046.754204,523.3770558,-6.953e-05,1046.75412,523.3770141,-6.917e-05,1046.754462,523.3770666,-6.914e-05,1046.754462,523.3770128,-6.907e-05,1046.754122,523.3770141,-6.897e-05
7.8,1046.759636,523.381326,-7.571e-05,1046.762735,523.3812883,-8.366e-05,1046.762775,523.3813565,-9.204e-05,1046.762895,523.381319,-9.579e-05,1046.762805,523.3813042,-0.00010006,1046.762637,523.3812756,-9.94e-05,1046.762764,523.3813209,-9.872e-05,1046.762688,523.3812818,-9.807e-05,1046.762999,523.3813313,-9.83e-05,1046.762674,523.3812808,-9.79e-05,1046.762683,523.3812817,-9.772e-05
7.9,1046.76826,523.3855712,-0.00011015,1046.771226,523.3855318,-0.00012178,1046.771295,523.3855923,-0.00013413,1046.771412,523.3855536,-0.00013962,1046.77131,523.3855389,-0.00014589,1046.771149,523.3855108,-0.0001448,1046.771275,523.3855542,-0.00014365,1046.771208,523.3855177,-0.0001426,1046.771489,523.3855645,-0.0001425,1046.771191,523.3855172,-0.00014231,1046.771196,523.3855176,-0.00014203
8.0,1046.776797,523.3897646,-0.00016324,1046.779633,523.3897214,-0.00018065,1046.779726,523.3897721,-0.00019907,1046.779839,523.3897314,-0.0002073,1046.779724,523.3897154,-0.00021661,1046.779571,523.3896881,-0.00021496,1046.779695,523.3897299,-0.00021329,1046.779635,523.3896934,-0.00021162,1046.77989,523.3897401,-0.00021152,1046.779616,523.389696,-0.00021114,1046.779619,523.389696,-0.00021069
8.2,1046.793459,523.3978958,-0.00037203,1046.796043,523.3978342,-0.00041201,1046.796153,523.3978539,-0.00045422,1046.796256,523.3978048,-0.00047294,1046.796112,523.3977793,-0.00049454,1046.795976,523.3977551,-0.00049084,1046.796096,523.3977948,-0.0004869,1046.79605,523.3977677,-0.00048312,1046.796256,523.3978062,-0.00048265,1046.79603,523.3977682,-0.00048191,1046.796028,523.3977693,-0.00048212
